version,method,path,controller,action,middleware,source
"V2","POST","/api/v2/{secure_path}/update/plugin/disable","PluginController","disable","api, admin, log","app/Http/Routes/V2/AdminRoute.php:281"
"V2","GET","/api/v2/{secure_path}/update/plugin/config","PluginController","getConfig","api, admin, log","app/Http/Routes/V2/AdminRoute.php:282"
"V2","POST","/api/v2/{secure_path}/update/plugin/config","PluginController","updateConfig","api, admin, log","app/Http/Routes/V2/AdminRoute.php:283"
"V2","POST","/api/v2/{secure_path}/update/plugin/upgrade","PluginController","upgrade","api, admin, log","app/Http/Routes/V2/AdminRoute.php:284"
"V2","GET","/api/v2/{secure_path}/update/traffic-reset/logs","App\Http\Controllers\V2\Admin\TrafficResetController","logs","api, admin, log","app/Http/Routes/V2/AdminRoute.php:291"
"V2","GET","/api/v2/{secure_path}/update/traffic-reset/stats","App\Http\Controllers\V2\Admin\TrafficResetController","stats","api, admin, log","app/Http/Routes/V2/AdminRoute.php:292"
"V2","GET","/api/v2/{secure_path}/update/traffic-reset/user/{userId}/history","App\Http\Controllers\V2\Admin\TrafficResetController","userHistory","api, admin, log","app/Http/Routes/V2/AdminRoute.php:293"
"V2","POST","/api/v2/{secure_path}/update/traffic-reset/reset-user","App\Http\Controllers\V2\Admin\TrafficResetController","resetUser","api, admin, log","app/Http/Routes/V2/AdminRoute.php:294"
"V2","GET","/api/v2/client/app/getConfig","App\Http\Controllers\V2\Client\AppController","getConfig","api, client","app/Http/Routes/V2/ClientRoute.php:16"
"V2","GET","/api/v2/client/app/getVersion","App\Http\Controllers\V2\Client\AppController","getVersion","api, client","app/Http/Routes/V2/ClientRoute.php:17"
"V2","POST","/api/v2/passport/auth/register","App\Http\Controllers\V1\Passport\AuthController","register","api","app/Http/Routes/V2/PassportRoute.php:16"
"V2","POST","/api/v2/passport/auth/login","App\Http\Controllers\V1\Passport\AuthController","login","api","app/Http/Routes/V2/PassportRoute.php:17"
"V2","GET","/api/v2/passport/auth/token2Login","App\Http\Controllers\V1\Passport\AuthController","token2Login","api","app/Http/Routes/V2/PassportRoute.php:18"
"V2","POST","/api/v2/passport/auth/forget","App\Http\Controllers\V1\Passport\AuthController","forget","api","app/Http/Routes/V2/PassportRoute.php:19"
"V2","POST","/api/v2/passport/auth/getQuickLoginUrl","App\Http\Controllers\V1\Passport\AuthController","getQuickLoginUrl","api","app/Http/Routes/V2/PassportRoute.php:20"
"V2","POST","/api/v2/passport/auth/loginWithMailLink","App\Http\Controllers\V1\Passport\AuthController","loginWithMailLink","api","app/Http/Routes/V2/PassportRoute.php:21"
"V2","POST","/api/v2/passport/comm/sendEmailVerify","App\Http\Controllers\V1\Passport\CommController","sendEmailVerify","api","app/Http/Routes/V2/PassportRoute.php:23"
"V2","POST","/api/v2/passport/comm/pv","App\Http\Controllers\V1\Passport\CommController","pv","api","app/Http/Routes/V2/PassportRoute.php:24"
"V2","GET|POST","/api/v2/server/handshake","App\Http\Controllers\V2\Server\ServerController","handshake","api, server.v2","app/Http/Routes/V2/ServerRoute.php:19"
"V2","POST","/api/v2/server/report","App\Http\Controllers\V2\Server\ServerController","report","api, server.v2","app/Http/Routes/V2/ServerRoute.php:20"
"V2","GET","/api/v2/server/config","App\Http\Controllers\V1\Server\UniProxyController","config","api, server.v2","app/Http/Routes/V2/ServerRoute.php:21"
"V2","GET","/api/v2/server/user","App\Http\Controllers\V1\Server\UniProxyController","user","api, server.v2","app/Http/Routes/V2/ServerRoute.php:22"
"V2","POST","/api/v2/server/push","App\Http\Controllers\V1\Server\UniProxyController","push","api, server.v2","app/Http/Routes/V2/ServerRoute.php:23"
"V2","POST","/api/v2/server/alive","App\Http\Controllers\V1\Server\UniProxyController","alive","api, server.v2","app/Http/Routes/V2/ServerRoute.php:24"
"V2","GET","/api/v2/server/alivelist","App\Http\Controllers\V1\Server\UniProxyController","alivelist","api, server.v2","app/Http/Routes/V2/ServerRoute.php:25"
"V2","POST","/api/v2/server/status","App\Http\Controllers\V1\Server\UniProxyController","status","api, server.v2","app/Http/Routes/V2/ServerRoute.php:26"
"V2","POST","/api/v2/server/machine/nodes","App\Http\Controllers\V2\Server\MachineController","nodes","api","app/Http/Routes/V2/ServerRoute.php:32"
"V2","POST","/api/v2/server/machine/status","App\Http\Controllers\V2\Server\MachineController","status","api","app/Http/Routes/V2/ServerRoute.php:33"
"V2","GET","/api/v2/user/resetSecurity","App\Http\Controllers\V1\User\UserController","resetSecurity","api, user","app/Http/Routes/V2/UserRoute.php:16"
"V2","GET","/api/v2/user/info","App\Http\Controllers\V1\User\UserController","info","api, user","app/Http/Routes/V2/UserRoute.php:17"
